21;Seattle Sounders FC;Austin FC;Lumen Field;MLS-MAT-00061O;en
21;St. Louis City SC;Houston Dynamo FC;Energizer Park;MLS-MAT-00061L;en es
21;Toronto FC;Portland Timbers;BMO Field;MLS-MAT-00061H;en
22;Austin FC;Los Angeles FC;Q2 Stadium;MLS-MAT-00061Y;en es
22;Charlotte FC;Orlando City SC;Bank of America Stadium;MLS-MAT-00061U;en es
22;FC Cincinnati;Chicago Fire FC;TQL Stadium;MLS-MAT-00061V;en es
22;Colorado Rapids;Sporting Kansas City;Dick's Sporting Goods Park;MLS-MAT-00061S;en es
22;D.C. United;Atlanta United FC;Audi Field;MLS-MAT-00061W;en es
22;FC Dallas;Minnesota United FC;Toyota Stadium;MLS-MAT-00061R;en
22;LA Galaxy;Vancouver Whitecaps FC;Dignity Health Sports Park;MLS-MAT-00061T;en es
22;Montreal Impact;Inter Miami CF;Saputo Stadium;MLS-MAT-00061X;en fr
22;Nashville SC;Philadelphia Union;Geodis Park;MLS-MAT-00061Z;en
22;New York City FC;Toronto FC;Yankee Stadium;MLS-MAT-00061Q;en es
22;Portland Timbers;New England Revolution;Providence Park;MLS-MAT-000621;en es
22;Real Salt Lake;St. Louis City SC;America First Field;MLS-MAT-000620;en es
22;San Diego FC;Houston Dynamo FC;Snapdragon Stadium;MLS-MAT-000622;en es
22;San Jose Earthquakes;New York Red Bulls;PayPal Park;MLS-MAT-000623;en es
22;Seattle Sounders FC;Columbus Crew Sc;Lumen Field;MLS-MAT-000624;en
23;Austin FC;New England Revolution;Q2 Stadium;MLS-MAT-00062B;en es
23;Charlotte FC;New York City FC;Bank of America Stadium;MLS-MAT-000625;en es
23;Chicago Fire FC;San Diego FC;Soldier Field;MLS-MAT-00062C;en es
23;FC Cincinnati;Columbus Crew Sc;TQL Stadium;MLS-MAT-000626;en es
23;Colorado Rapids;Vancouver Whitecaps FC;Dick's Sporting Goods Park;MLS-MAT-00062F;en es
23;Sporting Kansas City;Seattle Sounders FC;Children's Mercy Park;MLS-MAT-00062D;en es
23;LA Galaxy;D.C. United;Dignity Health Sports Park;MLS-MAT-00062H;en es
23;Los Angeles FC;FC Dallas;BMO Stadium;MLS-MAT-00062I;en es
23;Inter Miami CF;Nashville SC;Chase Stadium;MLS-MAT-000627;en es
